Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0u1,C_0402_1005Metric,24.520000,-47.290000,270.000000,top
C2,0u1,C_0402_1005Metric,32.900000,-50.100000,315.000000,top
C3,0u1,C_0402_1005Metric,36.047100,-43.477100,135.000000,top
C4,0u1,C_0402_1005Metric,32.602900,-39.487100,45.000000,top
C5,0u1,C_0402_1005Metric,31.050000,-37.900000,90.000000,top
C6,4u7,C_0402_1005Metric,26.237100,-41.857100,135.000000,top
C7,22p,C_0402_1005Metric,27.670000,-52.345000,90.000000,top
C8,22p,C_0402_1005Metric,25.015000,-49.070000,0.000000,top
C9,1u,C_0402_1005Metric,27.080000,-41.010000,135.000000,top
C10,0u1,C_0402_1005Metric,33.482900,-40.387100,45.000000,top
D1,D_Schottky,D_PowerDI-123,34.960000,-33.780000,90.000000,top
R1,5k1,R_0402_1005Metric,37.800000,-24.900000,0.000000,top
R2,5k1,R_0402_1005Metric,22.215000,-24.900000,180.000000,top
R3,10k,R_0402_1005Metric,35.400000,-37.040000,180.000000,top
R4,22,R_0402_1005Metric,28.810000,-38.060000,90.000000,top
R5,22,R_0402_1005Metric,29.850000,-38.500000,90.000000,top
R6,10k,R_0402_1005Metric,33.090000,-34.355000,90.000000,top
R7,0R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,30.425000,-33.550000,0.000000,top
R8,0R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,30.115000,-35.220000,180.000000,top
U1,ATmega32U4,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,30.700000,-45.000000,225.000000,top
USB1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,29.600000,-22.760000,180.000000,top
X1,16MHz,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,25.370000,-51.750000,90.000000,top
